VIN,vin_prefix,trim,body_style,cab_style
1C3EL55R54N407052,1C3EL55R_4,Touring,Convertible,null
1C3EL55R56N136559,1C3EL55R_6,Touring,Convertible,null
1C3EL55R94N218758,1C3EL55R_4,LXi,Convertible,null
1C3EL55RX2N304335,1C3EL55R_2,LXi,Convertible,null
1C3EL55RX6N183165,1C3EL55R_6,Touring,Convertible,null
1C3EL65U21N592327,1C3EL65U_1,Limited,Convertible,null
1C3LC45B39N515455,1C3LC45B_9,LX,Convertible,null
1C3LC46B59N527377,1C3LC46B_9,LX,Sedan,null
1C3LC46KX7N521782,1C3LC46K_7,Base,Sedan,null
1C3LC56R57N502124,1C3LC56R_7,Touring,Sedan,null
1C3LC66K77N548756,1C3LC66K_7,Limited,Sedan,null
1C3LN65L78X075175,1C3LN65L_8,Limited Edition,Convertible,null
1C4AJWBG6CL228618,1C4AJWBG_C,Sahara,SUV,null
1C4AJWBG6CL237190,1C4AJWBG_C,Sahara,SUV,null
1C4BJWCG0GL267200,1C4BJWCG_G,Rubicon,SUV,null
1C4BJWDG1DL573347,1C4BJWDG_D,Sport,SUV,null
1C4BJWDG1DL580668,1C4BJWDG_D,Sport,SUV,null
1C4BJWDG1FL597425,1C4BJWDG_F,Sport,SUV,null
1C4BJWDG2CL129683,1C4BJWDG_C,null,SUV,null
1C4BJWDG2FL754038,1C4BJWDG_F,Sport,SUV,null
1C4BJWDG2GL286491,1C4BJWDG_G,Sport,SUV,null
1C4BJWDG6DL612675,1C4BJWDG_D,Sport,SUV,null
1C4BJWDG6GL139655,1C4BJWDG_G,null,SUV,null
1C4BJWDG7EL121761,1C4BJWDG_E,Sport,SUV,null
1C4BJWEG0CL152040,1C4BJWEG_C,Sahara,SUV,null
1C4BJWEG0DL677553,1C4BJWEG_D,Sahara,SUV,null
1C4BJWEG0EL228715,1C4BJWEG_E,Sahara,SUV,null
1C4BJWEG1EL302241,1C4BJWEG_E,Sahara,SUV,null
1C4BJWEG2CL177411,1C4BJWEG_C,Sahara,SUV,null
1C4BJWEG4FL514259,1C4BJWEG_F,Sahara,SUV,null
1C4BJWEG4FL691295,1C4BJWEG_F,Sahara,SUV,null
1C4BJWEG6CL198939,1C4BJWEG_C,Sahara,SUV,null
1C4BJWFG5GL210048,1C4BJWFG_G,Rubicon,SUV,null
1C4BJWKG8CL145647,1C4BJWKG_C,Sport RHD,SUV,null
1C4BJWKG9CL287683,1C4BJWKG_C,Sport RHD,SUV,null
1C4GJWAG9EL201461,1C4GJWAG_E,Sport,SUV,null
1C4GP54L5XB821508,1C4GP54L_X,LX,Minivan,null
1C4GP64L3YB633951,1C4GP64L_Y,Limited Edition,Minivan,null
1C4GP64LXWB616531,1C4GP64L_W,LXi,Minivan,null
1C4HJWDG6EL235468,1C4HJWDG_E,Sport,SUV,null
1C4HJWEG3EL285629,1C4HJWEG_E,Sahara,SUV,null
1C4NJCBA1FD285030,1C4NJCBA_F,Sport,SUV,null
1C4NJCBA3GD567963,1C4NJCBA_G,Sport,SUV,null
1C4NJCBA4ED882221,1C4NJCBA_E,Sport,SUV,null
1C4NJCBA7GD620311,1C4NJCBA_G,Sport,SUV,null
1C4NJCBAXGD621646,1C4NJCBA_G,Sport,SUV,null
1C4NJDBB7FD439965,1C4NJDBB_F,Sport,SUV,null
1C4NJPBA1GD515013,1C4NJPBA_G,Sport,SUV,null
1C4NJPBA7ED679489,1C4NJPBA_E,Sport,SUV,null
1C4NJPBA8GD550499,1C4NJPBA_G,Sport,SUV,null
1C4NJPBB3GD576548,1C4NJPBB_G,Sport,SUV,null
1C4NJPCB8ED805530,1C4NJPCB_E,Limited Edition,SUV,null
1C4NJPFA6CD706964,1C4NJPFA_C,Latitude,SUV,null
1C4NJPFA9ED620633,1C4NJPFA_E,Latitude,SUV,null
1C4NJRBB0FD279666,1C4NJRBB_F,Sport,SUV,null
1C4NJRBB0GD549691,1C4NJRBB_G,Sport,SUV,null
1C4NJRBB1ED879305,1C4NJRBB_E,Sport,SUV,null
1C4NJRBB1GD509412,1C4NJRBB_G,Sport,SUV,null
1C4NJRBB5CD528667,1C4NJRBB_C,Sport,SUV,null
1C4NJRBB6FD347291,1C4NJRBB_F,Sport,SUV,null
1C4PJLAK2CW188969,1C4PJLAK_C,Sport,SUV,null
1C4PJLAK5CW104725,1C4PJLAK_C,Sport,SUV,null
1C4PJLAK5CW133982,1C4PJLAK_C,Sport,SUV,null
1C4PJLAK8CW125777,1C4PJLAK_C,Sport,SUV,null
1C4PJLCB1FW607573,1C4PJLCB_F,Latitude,SUV,null
1C4PJLCB3FW694845,1C4PJLCB_F,Latitude,SUV,null
1C4PJLCB3FW747219,1C4PJLCB_F,null,SUV,null
1C4PJLCB5FW706395,1C4PJLCB_F,Latitude,SUV,null
1C4PJLDB0GW239452,1C4PJLDB_G,Limited Edition,SUV,null
1C4PJLDB3GW239431,1C4PJLDB_G,Limited Edition,SUV,null
1C4PJLDS1FW761232,1C4PJLDS_F,Limited Edition,SUV,null
1C4PJLDS9EW118478,1C4PJLDS_E,Limited Edition,SUV,null
1C4PJMBS8EW132851,1C4PJMBS_E,Trailhawk,SUV,null
1C4PJMCB4FW681088,1C4PJMCB_F,Latitude,SUV,null
1C4PJMDB1EW303131,1C4PJMDB_E,Limited Edition,SUV,null
1C4RDHAG3FC244478,1C4RDHAG_F,SXT,SUV,null
1C4RDHDG9EC267161,1C4RDHDG_E,Limited,SUV,null
1C4RDHEG1GC437305,1C4RDHEG_G,Citadel,SUV,null
1C4RDJDG5GC308816,1C4RDJDG_G,Limited,SUV,null
1C4RJEAG4CC157451,1C4RJEAG_C,Laredo,SUV,null
1C4RJEBG0GC358817,1C4RJEBG_G,Limited Edition,SUV,null
1C4RJEBG3FC887872,1C4RJEBG_F,Limited Edition,SUV,null
1C4RJEBG4GC335170,1C4RJEBG_G,Limited Edition,SUV,null
1C4RJEBG5GC320595,1C4RJEBG_G,Limited Edition,SUV,null
1C4RJEBT8DC571619,1C4RJEBT_D,Limited Edition,SUV,null
1C4RJFAG1EC577838,1C4RJFAG_E,Laredo,SUV,null
1C4RJFAG4CC303594,1C4RJFAG_C,null,SUV,null
1C4RJFAG6EC440829,1C4RJFAG_E,Laredo,SUV,null
1C4RJFBG0FC205083,1C4RJFBG_F,Limited Edition,SUV,null
1C4RJFBG2EC254400,1C4RJFBG_E,Limited Edition,SUV,null
1C4RJFBG2GC378637,1C4RJFBG_G,Limited Edition,SUV,null
1C4RJFBG3FC898098,1C4RJFBG_F,Limited Edition,SUV,null
1C4RJFBG4FC233260,1C4RJFBG_F,Limited Edition,SUV,null
1C4RJFBG6FC233261,1C4RJFBG_F,Limited Edition,SUV,null
1C4RJFBG8FC205302,1C4RJFBG_F,Limited Edition,SUV,null
1C4RJFBG9EC276085,1C4RJFBG_E,Limited Edition,SUV,null
1C4RJFBGXFC764561,1C4RJFBG_F,Limited Edition,SUV,null
1C4RJFCT2FC696896,1C4RJFCT_F,null,SUV,null
1C4RJFCT7EC216205,1C4RJFCT_E,Overland,SUV,null
1C4RJFJT7FC696895,1C4RJFJT_F,Summit,SUV,null
1C6RD6FP1CS205409,1C6RD6FP_C,ST,Pickup,Crew Cab
1C6RD6FT3CS301720,1C6RD6FT_C,ST,Pickup,Crew Cab
1C6RD6FT5CS258997,1C6RD6FT_C,ST,Pickup,Crew Cab
1C6RR6GG4GS284290,1C6RR6GG_G,SLT,Pickup,Crew Cab
1C6RR6GG5FS552844,1C6RR6GG_F,SLT,Pickup,Crew Cab
1C6RR6GG8FS521670,1C6RR6GG_F,SLT,Pickup,Crew Cab
1C6RR6GG8FS552921,1C6RR6GG_F,SLT,Pickup,Crew Cab
1C6RR6GT3FS691948,1C6RR6GT_F,SLT,Pickup,Crew Cab
1C6RR6GT9GS240251,1C6RR6GT_G,SLT,Pickup,Crew Cab
1C6RR6GTXFS675147,1C6RR6GT_F,SLT,Pickup,Crew Cab
1C6RR6KT7ES413978,1C6RR6KT_E,ST,Pickup,Crew Cab
1C6RR6KT8ES238222,1C6RR6KT_E,ST,Pickup,Crew Cab
1C6RR6LG7DS607359,1C6RR6LG_D,SLT,Pickup,Crew Cab
1C6RR6NT7DS550588,1C6RR6NT_D,Laramie,Pickup,Crew Cab
1C6RR7FT9DS702374,1C6RR7FT_D,ST,Pickup,Crew Cab
1C6RR7GT0GS221755,1C6RR7GT_G,SLT,Pickup,Crew Cab
1C6RR7GT1GS168208,1C6RR7GT_G,SLT,Pickup,Crew Cab
1C6RR7GT2FS659370,1C6RR7GT_F,SLT,Pickup,Crew Cab
1C6RR7GT2GS176995,1C6RR7GT_G,SLT,Pickup,Crew Cab
1C6RR7GT4GS176836,1C6RR7GT_G,SLT,Pickup,Crew Cab
1C6RR7GT4GS176979,1C6RR7GT_G,SLT,Pickup,Crew Cab
1C6RR7GT5GS176988,1C6RR7GT_G,SLT,Pickup,Crew Cab
1C6RR7GT6GS156300,1C6RR7GT_G,SLT,Pickup,Crew Cab
1C6RR7GT6GS222022,1C6RR7GT_G,SLT,Pickup,Crew Cab
1C6RR7GT7GS156144,1C6RR7GT_G,SLT,Pickup,Crew Cab
1C6RR7GT8GS165662,1C6RR7GT_G,SLT,Pickup,Crew Cab
1C6RR7GT9GS156128,1C6RR7GT_G,null,Pickup,Crew Cab
1C6RR7GT9GS231653,1C6RR7GT_G,SLT,Pickup,Crew Cab
1C6RR7GTXGS156302,1C6RR7GT_G,SLT,Pickup,Crew Cab
1C6RR7GTXGS176842,1C6RR7GT_G,SLT,Pickup,Crew Cab
1C6RR7KT0DS542732,1C6RR7KT_D,ST,Pickup,Crew Cab
1C6RR7KT1GS418960,1C6RR7KT_G,ST,Pickup,Crew Cab
1C6RR7LG8FS502158,1C6RR7LG_F,SLT,Pickup,Crew Cab
1C6RR7LM1FS506851,1C6RR7LM_F,SLT,Pickup,Crew Cab
1C6RR7LM2ES288286,1C6RR7LM_E,SLT,Pickup,Crew Cab
1C6RR7LT0ES283644,1C6RR7LT_E,null,Pickup,Crew Cab
1C6RR7MT5DS511702,1C6RR7MT_D,Sport,Pickup,Crew Cab
1C6RR7NT0DS585768,1C6RR7NT_D,Laramie,Pickup,Crew Cab
1C6RR7NT0ES312511,1C6RR7NT_E,Laramie,Pickup,Crew Cab
1C6RR7PT3DS648066,1C6RR7PT_D,Laramie,Pickup,Crew Cab
1C6RR7PT8ES186637,1C6RR7PT_E,Laramie,Pickup,Crew Cab
1D3HB13T39J502444,1D3HB13T_9,null,Pickup,Crew Cab
1D3HB13T89J516937,1D3HB13T_9,Laramie,Pickup,Crew Cab
1D3HB16P09J516381,1D3HB16P_9,SLT,Pickup,Regular Cab
1D3HU18Z92J182415,1D3HU18Z_2,ST,Pickup,Crew Cab
1D3HV18T99S774135,1D3HV18T_9,null,Pickup,Crew Cab
1D3HW58N25S184763,1D3HW58N_5,Laramie,Pickup,Crew Cab
1D4GP24R66B666469,1D4GP24R_6,SE,Minivan,null
1D4GP24R77B167410,1D4GP24R_7,SE,Minivan,null
1D4GP24R86B650161,1D4GP24R_6,SE,Minivan,null
1D4GP25373B122410,1D4GP253_3,SE,Minivan,null
1D4GP25BX5B285353,1D4GP25B_5,SE,Minivan,null
1D4GP25R87B244249,1D4GP25R_7,SE,Minivan,null
1D4GP45R04B599147,1D4GP45R_4,SXT,Minivan,null
1D4HB48D04F144486,1D4HB48D_4,SLT,SUV,null
1D4HB48N94F200627,1D4HB48N_4,SLT,SUV,null
1D4HB58NX5F582156,1D4HB58N_5,Limited,SUV,null
1D4HD38N16F115630,1D4HD38N_6,SXT,SUV,null
1D4HD38NX4F199539,1D4HD38N_4,ST,SUV,null
1D4HD48N06F190390,1D4HD48N_6,SLT,SUV,null
1D4HD48N36F154659,1D4HD48N_6,SLT,SUV,null
1D4HR48N03F557656,1D4HR48N_3,SLT,SUV,null
1D4HR58N23F506729,1D4HR58N_3,SLT,SUV,null
1D4HR58N23F599686,1D4HR58N_3,SLT,SUV,null
1D4HS48N53F515357,1D4HS48N_3,SLT,SUV,null
1D4PT2GK5BW590112,1D4PT2GK_B,SE,SUV,null
1D4PT4GX5BW606896,1D4PT4GX_B,Heat,SUV,null
1D4PT5GK2AW125674,1D4PT5GK_A,SXT,SUV,null
1D4PU2GK4AW146103,1D4PU2GK_A,SE,SUV,null
1D4RD2GG0BC617140,1D4RD2GG_B,Express,SUV,null
1D7GL42K14S636907,1D7GL42K_4,SLT,Pickup,Extended Cab
1D7HA16D53J571696,1D7HA16D_3,null,Pickup,Regular Cab
1D7HA16DX4J104775,1D7HA16D_4,SLT,Pickup,Regular Cab
1D7HA16DX5J536705,1D7HA16D_5,Laramie,Pickup,Regular Cab
1D7HA16K17J536917,1D7HA16K_7,ST,Pickup,Regular Cab
1D7HA16K32J235137,1D7HA16K_2,null,Pickup,Regular Cab
1D7HA16K85J519738,1D7HA16K_5,ST,Pickup,Regular Cab
1D7HA16N26J195410,1D7HA16N_6,null,Pickup,Regular Cab
1D7HA16N45J553945,1D7HA16N_5,SLT,Pickup,Regular Cab
1D7HA16N54J273577,1D7HA16N_4,ST,Pickup,Regular Cab
1D7HA16N73J502503,1D7HA16N_3,ST,Pickup,Regular Cab
1D7HA18217S248774,1D7HA182_7,Laramie,Pickup,Crew Cab
1D7HA18256J184789,1D7HA182_6,Laramie,Pickup,Crew Cab
1D7HA18258S606430,1D7HA182_8,SLT,Pickup,Crew Cab
1D7HA182X8J135199,1D7HA182_8,null,Pickup,Crew Cab
1D7HA18K78J194114,1D7HA18K_8,ST,Pickup,Crew Cab
1D7HA18K86J146067,1D7HA18K_6,ST,Pickup,Crew Cab
1D7HA18K94J162954,1D7HA18K_4,ST,Pickup,Crew Cab
1D7HA18KX6J157829,1D7HA18K_6,ST,Pickup,Crew Cab
1D7HA18N12S543876,1D7HA18N_2,SLT,Pickup,Crew Cab
1D7HA18N23S208837,1D7HA18N_3,Laramie,Pickup,Crew Cab
1D7HA18N24J123861,1D7HA18N_4,SLT,Pickup,Crew Cab
1D7HA18N34S521784,1D7HA18N_4,null,Pickup,Crew Cab
1D7HA18N34S612652,1D7HA18N_4,SLT,Pickup,Crew Cab
1D7HA18N44S650195,1D7HA18N_4,SLT,Pickup,Crew Cab
1D7HA18N66S634857,1D7HA18N_6,SLT,Pickup,Crew Cab
1D7HA18N73S115487,1D7HA18N_3,SLT,Pickup,Crew Cab
1D7HA18N74S516796,1D7HA18N_4,SLT,Pickup,Crew Cab
1D7HA18NX4J128015,1D7HA18N_4,null,Pickup,Crew Cab
1D7HA18P47J522101,1D7HA18P_7,SLT,Pickup,Crew Cab
1D7HA18P67S153381,1D7HA18P_7,SLT,Pickup,Crew Cab
1D7HE22K15S202751,1D7HE22K_5,ST,Pickup,Extended Cab
